# Transfer functions T_i(k) for adiabatic (AD) mode (normalized to initial curvature=1) at redshift z=50
# for k=1.05577e-05 to 210.871 h/Mpc,
# number of wavenumbers equal to 135
# d_i   stands for (delta rho_i/rho_i)(k,z) with above normalization 
# d_tot stands for (delta rho_tot/rho_tot)(k,z) with rho_Lambda NOT included in rho_tot
# (note that this differs from the transfer function output from CAMB/CMBFAST, which gives the same
#  quantities divided by -k^2 with k in Mpc^-1; use format=camb to match CAMB)
# t_i   stands for theta_i(k,z) with above normalization 
# t_tot stands for (sum_i [rho_i+p_i] theta_i)/(sum_i [rho_i+p_i]))(k,z)
#
#    1:k (h/Mpc)              2:d_g                    3:d_b                    4:d_cdm                  5:d_ur                   6:d_ncdm[0]              7:d_ncdm[1]              8:d_tot                  9:phi                   10:psi                   11:t_g                   12:t_b                   13:t_cdm                 14:t_ur                  15:t_ncdm[0]             16:t_ncdm[1]             17:t_tot              
       2.067055540477e-01      -1.308072633287e-01      -4.501182335931e+02      -5.262315312634e+02      -1.307841291104e-01      -1.264040378317e-01      -2.307656675598e-01      -5.057584655296e+02       3.269603227760e-02       3.269602782912e-02      -2.042562689135e-06       4.576903172267e-01       4.633891847474e-01      -2.016456400984e-06       2.940930663101e-06       2.365847693284e-04       4.525652231299e-01 
       2.136180287652e-01      -1.241118656612e-01      -4.505750526576e+02      -5.342558738711e+02      -1.240899528671e-01      -1.294822552019e-01      -2.224883435483e-01      -5.125031532582e+02       3.102248821677e-02       3.102248208390e-02      -1.940126411237e-06       4.630062154312e-01       4.697010845004e-01      -1.915436835961e-06       1.847723107817e-04       6.319969850143e-04       4.585940792965e-01 
       2.207617681994e-01      -1.175502377350e-01      -4.494527817260e+02      -5.415550583481e+02      -1.175295197397e-01      -1.166950761651e-01      -2.200704061519e-01      -5.184061282469e+02       2.938237993493e-02       2.938237517484e-02      -1.840664263768e-06       4.675298944651e-01       4.752594571903e-01      -1.817358302766e-06      -1.782539921078e-04       6.340041414393e-04       4.638762391655e-01 
       2.281447121219e-01      -1.115756030373e-01      -4.514220908025e+02      -5.497349521202e+02      -1.115559577584e-01      -1.135066738771e-01      -2.118592171685e-01      -5.255085801423e+02       2.788898943960e-02       2.788898452358e-02      -1.748799418757e-06       4.734709391170e-01       4.818625772158e-01      -1.726720509099e-06       1.758977843792e-04      -7.099516534791e-06       4.702359758992e-01 
       2.357752543364e-01      -1.064411582507e-01      -4.599110197887e+02      -5.601071501592e+02      -1.064224130980e-01      -1.073265159027e-01      -1.910776115494e-01      -5.354192037017e+02       2.660560327450e-02       2.660559970672e-02      -1.668343999001e-06       4.825026012990e-01       4.909368096469e-01      -1.647272688275e-06      -2.675953523120e-04      -2.079388626983e-04       4.791063481490e-01 
       2.436623343696e-01      -1.020901244323e-01      -4.752089072787e+02      -5.730139268129e+02      -1.020721231710e-01      -1.059684829083e-01      -1.836019095361e-01      -5.484665661630e+02       2.551803079274e-02       2.551802696152e-02      -1.596814645106e-06       4.948726948560e-01       5.027950016067e-01      -1.576556433076e-06       2.774185911208e-04       5.733083806785e-04       4.907914722609e-01 
       2.518155435963e-01      -9.817382215978e-02      -4.939188032124e+02      -5.874638068270e+02      -9.815648494171e-02      -9.557005890922e-02      -1.865640807823e-01      -5.633128883502e+02       2.453912123543e-02       2.453911840639e-02      -1.534223728195e-06       5.090467238390e-01       5.162735741562e-01      -1.514685460300e-06       2.216858278431e-04       1.155980418469e-04       5.040824456328e-01 
       2.602452479655e-01      -9.424099912643e-02      -5.105840845627e+02      -6.015543616025e+02      -9.422434077401e-02      -9.377017901413e-02      -1.676194229649e-01      -5.775514955600e+02       2.355608519350e-02       2.355608282540e-02      -1.472599043732e-06       5.224087812734e-01       5.292429528257e-01      -1.453809691075e-06      -5.335498236228e-04      -1.417332088553e-06       5.168291817140e-01 
       2.689627300654e-01      -9.000443990884e-02      -5.209534765096e+02      -6.136178852373e+02      -8.998853255887e-02      -9.492312001445e-02      -1.691195223636e-01      -5.891532472233e+02       2.249713313972e-02       2.249712998891e-02      -1.406367665707e-06       5.328376482913e-01       5.398907869178e-01      -1.388427583435e-06      -3.874609583052e-04       4.017802412060e-04       5.272173332140e-01 
       2.779803540253e-01      -8.549898485562e-02      -5.248559073893e+02      -6.233227341707e+02      -8.548388917705e-02      -9.146823736485e-02      -1.537506186440e-01      -5.978162302933e+02       2.137097229426e-02       2.137096952473e-02      -1.337489763390e-06       5.401247730535e-01       5.479236537127e-01      -1.320480906272e-06       1.322718556449e-04      -4.830806902388e-05       5.349646063129e-01 
